name;kind;children
PSL;node
interferometer;node;signal-generation,arm-AB,arm-AC
signal-generation;node;LIOP_A,LIMC-I_A,LINJ_A,LPRM_A,LBS_A,LIMC-E_A,cooling-laser-input
LIOP_A;node
LIMC-I_A;node
LINJ_A;node
LPRM_A;node
LBS_A;node
LIMC-E_A;node
cooling-laser-input;node

sensor;node;LSEM_A,LSQI_A,LOOP_A,LOMC_A,cooling-laser-measure
LSEM_A;node
LSQI_A;node
LOOP_A;node
LOMC_A;node
cooling-laser-measure;node

arm-AB;node;LZM1_AB,LZM2_AB,LITM_AB,AB-end,cooling-LITM_AB-AS,cooling-LITM_AB-TS
LZM1_AB;node
LZM2_AB;node
LITM_AB;node
cooling-LITM_AB-AS;node
cooling-LITM_AB-TS;node
arm-AC;node;LZM1_AC,LZM2_AC,LITM_AC,AC-end,cooling-LITM_AC-AS,cooling-LITM_AC-TS
LZM1_AC;node
LZM2_AC;node
LITM_AC;node
cooling-LITM_AC-AS;node
cooling-LITM_AC-TS;node

quantum noise mitigation;node;squeezed-light-source,beam-conditioning,filter-cavity-1,filter-cavity-2
squeezed-light-source;node
beam-conditioning;node
filter-cavity-1;node;LFC1-IM1_A,LFC1-IM2_A,LFC1-EM_A,LSQ-EM1_A;node
filter-cavity-2;node;LFC2-IM1_A,LFC2-IM2_A,LFC2-EM_A,LSQ-EM2_A;node
LFC1-IM1_A;node
LFC2-IM1_A;node
LFC1-IM2_A;node
LFC2-IM2_A;node
LFC1-EM_A;node
LFC2-EM_A;node
LSQ-EM1_A;node
LSQ-EM2_A;node

AB-end;node;LCal1_AB,LCal2_AB,LETM_AB,cooling-LETM_AB-AS,cooling-LETM_AB-TS
AC-end;node;LCal1_AC,LCal2_AC,LETM_AC,cooling-LETM_AC-AS,cooling-LETM_AC-TS
LCal1_AB;node
LCal2_AB;node
LETM_AB;node
cooling-LETM_AB-AS;node
cooling-LETM_AB-TS;node
LCal1_AC;node
LCal2_AC;node
LETM_AC;node
cooling-LETM_AC-AS;node
cooling-LETM_AC-TS;node

supension-system;component;filter-chain,payload-suspension,seismic-isolation-platform,sensors-actuators

filter-chain;component;filter-0,standard-filter,payload-interface-filter,s-a,blade-springs-suspension-wires
filter-0;component
standard-filter;component
payload-interface-filter;component
s-a;component;inductive-s-a,low-noise-position-s-a
inductive-s-a;component
low-noise-position-s-a;component
blade-springs-suspension-wires;component;blade-springs,suspension-wires
blade-springs;component
suspension-wires;component


payload-suspension;component;TM-heads-anchors,TM-fibers,TM-interfaces-ears
TM-heads-anchors;component
TM-fibers;component
TM-interfaces-ears;component

seismic-isolation-platform;component;active-vibration-isolator,inverted-pendulum
active-vibration-isolator;component
inverted-pendulum;component

sensors-actuators;component;inductive,low-noise-position,linear-accelerometers,inertial-rotation,piezo-per-base-ring
inductive;component
low-noise-position;component
linear-accelerometers;component
inertial-rotation;component
piezo-per-base-ring;component

optical-payload;component;optical-substrate,inter-platform-optical-system,cryogenic-payload-safety-structure,payload-cryogenic-subsystem
optical-substrate;component
inter-platform-optical-system;component
cryogenic-payload-safety-structure;component
payload-cryogenic-subsystem;component;heat-sink-connection-structure,on-board-components,penultimate-mass,platform-vertical-anti-spring-system

platform-vertical-anti-spring-system;component


heat-sink-connection-structure;component;soft-heat-links,ancillary-vibration-attenuator
soft-heat-links;component
ancillary-vibration-attenuator;component

on-board-components;component;payload-on-board-soft-thermal-links,cryocompatible-inductive-actuators,scattered-light-ITM-payload-baffles
payload-on-board-soft-thermal-links;component
cryocompatible-inductive-actuators;component
scattered-light-ITM-payload-baffles;component

penultimate-mass;component;penultimate-mass-cryogenic-suspension,cryocompatible-DC-tilt-motors
penultimate-mass-cryogenic-suspension;component
cryocompatible-DC-tilt-motors;component

tower-vessel;component;tower-pump-system,cryogenic-tower-base,tower-condition-system,armside-cryopump,tower-side-cryopump

tower-pump-system;component;rough-pumping-system,intermediate-pumping-system,continuous-pumping-system
rough-pumping-system;component
intermediate-pumping-system;component
continuous-pumping-system;component

cryogenic-tower-base;component;cryostat-vessel,Mu-metal-sheath,cryosupply,thermal-shields,vessel-stray-light-baffle-system
cryostat-vessel;component
Mu-metal-sheath;component
cryosupply;component
thermal-shields;component
vessel-stray-light-baffle-system;component


tower-condition-system;component;dust-monitoring-system,temperature-monitoring-system,vibration-monitoring-system
dust-monitoring-system;component
temperature-monitoring-system;component
vibration-monitoring-system;component

armside-cryopump;component;cryosupply-arm,thermal-shields-arm,cryopanels-arm
cryosupply-arm;component
thermal-shields-arm;component
cryopanels-arm;component

tower-side-cryopump;component;cryosupply-tower,thermal-shields-tower,cryopanels-tower
cryosupply-tower;component
thermal-shields-tower;component
cryopanels-tower;component

Cryostats-and-cryopumps;team
Suspension-chain;team
LF-control-noise;team
Core-optics-LF;team
Tower-vaccuum;team
Magnetic-noise;team
Inter-platform-motion;team
Scattered-light;team
Test-mass-suspension;team
Seismic-isolation-platform;team





